"","id","fsecurity","fexpend","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability","weight"
"29",20180902407500,0,0,7,2,5,0,0,0,0,1,2,0,14570.9473
"30",20180902407900,0,45,4,3,2,0,0,0,2,2,2,0,7735.312
"31",20180902408500,NA,NA,2,1,0,0,0,2,1,2,2,0,4415.1372
"32",20180902409800,0,55,2,0,0,0,0,2,0,0,0,0,4748.5146
"33",20180902410300,0,0,5,2,2,0,0,0,0,2,2,0,9837.4695
"34",20180902411700,0,30,4,1,2,0,0,0,2,2,2,0,8326.2556
"35",20180902412500,0,0,1,1,0,1,0,0,0,0,1,1,2022.4122
"36",20180902413700,0,76.6666666666667,3,1,0,0,0,0,1,3,2,1,6216.4302
"37",20180902414700,2,40,2,2,0,1,0,0,0,1,0,1,4044.8244
"38",20180902415500,NA,NA,2,1,1,0,0,0,1,1,0,0,4933.2114
"39",20180902418600,0,30,4,2,2,0,0,0,2,2,2,0,8415.066
"40",20180902420200,NA,NA,3,1,0,0,0,0,2,2,2,0,7465.9218
"41",20180902420400,NA,NA,1,0,0,1,0,0,0,0,0,1,2375.3616
"42",20180902421700,0,40,2,1,0,2,0,1,0,1,2,1,4011.1534
"43",20180902424100,0,65,2,1,0,2,0,0,1,0,2,0,4200.4272
"44",20180902425100,NA,NA,2,1,0,0,0,0,0,2,0,0,5174.9562
"45",20180902427100,NA,NA,4,1,1,0,0,0,0,3,2,0,8271.0752
"46",20180902427300,NA,NA,4,2,1,0,0,0,0,4,2,0,8275.6492
"47",20180902427400,NA,NA,1,1,0,1,0,0,0,0,0,1,2163.6844
"48",20180902429500,NA,NA,2,1,0,0,0,2,0,1,2,0,4759.574
"49",20180902429900,0,170,1,1,0,1,0,0,1,1,0,0,2058.7079
"50",20180902430400,0,70,1,1,0,1,0,0,1,2,0,0,5004.3492
"51",20180902431200,NA,NA,3.4,4,2,0,0,0,2,2,0,0,12318.9495
"52",20180902431900,NA,NA,3,2,0,0,0,0,2,2,2,0,6650.6682
"53",20180902432400,0,70,1,1,0,1,1,0,1,0,0,0,2242.1724
"54",20180902432600,0,45,2,1,0,0,0,2,0,1,0,0,5890.3692
"55",20180902432900,0,20,4,1,2,0,0,4,2,2,2,0,8639.2224
"56",20180902433100,NA,NA,2,0,0,0,0,0,1,2,0,0,4799.6874
"57",20180902433600,0,0,3,1,1,0,0,0,2,2,2,0,6650.6682
"58",20180902434600,NA,NA,2,0,0,0,0,0,0,2,0,0,4139.9944
"59",20180902435100,NA,NA,10,7,0,2,0,0,5,4,4,0,19659.412
"60",20180902435300,NA,NA,2,1,0,2,0,0,2,0,2,0,5194.3202
"61",20180902437200,NA,NA,2,1,0,0,0,0,0,2,2,0,4433.7788
"62",20180902438400,0,100,2,1,0,1,0,0,0,2,0,0,4200.4272
"63",20180902442500,2,0,2,2,0,1,0,0,0,1,0,0,4324.977
"64",20180902444600,0,60,1,0,0,1,1,0,0,0,0,0,2363.985
"65",20181002372800,0,30,2,1,0,0,0,0,1,2,2,0,4483.9138
"66",20181002373500,NA,NA,1,1,0,0,0,0,1,1,0,0,2236.3335
"67",20181002374100,9,130,1,1,0,0,0,0,0,0,0,1,2241.9569
"68",20181002374800,0,0,4,1,2,0,0,0,2,2,2,0,11122.7756
"69",20181002375400,NA,NA,2,1,0,0,0,0,2,2,2,0,4776.9772
